Account_ID,SSN,Name,Gender,Contact_info,Staff_ID
A01,125422524,Bert Weiss,Male,bertweiss1365@icloud.org,S32
A02,613159867,Patricia Cooper,Male,patriciacooper@hotmail.com,S29
A03,838252441,Faith York,Male,faithyork@aol.couk,S09
A04,973757711,Rigel Tucker,Male,rigeltucker9364@protonmail.couk,S10
A05,866312385,Lane Cline,Male,lanecline9124@icloud.org,S12
A06,338988228,Emily Frank,Male,emilyfrank8612@outlook.com,S13
A07,248549229,Daryl Bartlett,Female,darylbartlett@hotmail.org,S33
A08,754281240,Mara Francis,Female,marafrancis@protonmail.ca,S20
A09,492933942,Uriel Garner,Male,urielgarner@hotmail.ca,S18
A10,887731075,Caryn Huffman,Male,carynhuffman4594@outlook.edu,S39
A11,452649636,Erich Campbell,Male,erichcampbell1820@icloud.net,S30
A12,985553847,Lionel Stevens,Male,lionelstevens@icloud.org,S27
A13,776502818,Wing Davis,Male,wingdavis@yahoo.edu,S02
A14,885020365,Giacomo Garrett,Male,giacomogarrett8687@yahoo.com,S14
A15,949123385,Tanek Boone,Male,tanekboone511@hotmail.org,S11
A16,265112746,Jamal Duncan,Female,jamalduncan5677@google.ca,S33
A17,204794566,Illana Brown,Male,illanabrown6211@hotmail.couk,S23
A18,341283909,Wanda Gilbert,Female,wandagilbert@yahoo.ca,S06
A19,982574354,Len Lawson,Male,lenlawson@protonmail.com,S19
A20,734741339,Chaney Luna,Female,chaneyluna1516@protonmail.couk,S03
A21,999157292,Malik Potts,Female,malikpotts8093@aol.com,S29
A22,175866146,Ray Estrada,Female,rayestrada382@icloud.edu,S21
A23,512283704,Gil Rhodes,Male,gilrhodes@hotmail.couk,S22
A24,230663644,Ila Cole,Male,ilacole9036@outlook.com,S17
A25,338244269,Barry Nichols,Female,barrynichols@hotmail.com,S24
A26,455173924,Jennifer Moody,Male,jennifermoody@protonmail.ca,S38
A27,531345678,Odessa Fry,Male,odessafry2252@google.edu,S07
A28,374567608,Oren Logan,Male,orenlogan2731@protonmail.ca,S38
A29,345476712,Nathaniel Dyer,Female,nathanieldyer1255@hotmail.couk,S27
A30,416311348,Thor Atkinson,Female,thoratkinson252@google.couk,S27
A31,527592573,Hasad Riggs,Female,hasadriggs@hotmail.couk,S04
A32,643168616,Brennan Wood,Female,brennanwood@icloud.net,S35
A33,727796599,Jacob Kerr,Male,jacobkerr7695@aol.edu,S28
A34,373183624,Beverly Becker,Male,beverlybecker5554@icloud.com,S15
A35,538725773,Brent Foster,Male,brentfoster9319@hotmail.ca,S01
A36,212158188,Skyler Ortiz,Male,skylerortiz@yahoo.com,S14
A37,330684153,Jack Dean,Male,jackdean@icloud.couk,S03
A38,253961171,Jonah Haley,Male,jonahhaley@protonmail.org,S31
A39,183243353,Jena Delgado,Female,jenadelgado934@aol.com,S14
A40,565227433,Graham Mccarthy,Male,grahammccarthy@aol.ca,S05
A41,888767956,Harper Valdez,Male,harpervaldez@google.edu,S16
A42,143572529,Craig Middleton,Female,craigmiddleton@hotmail.ca,S08
A43,514383566,Paki Hooper,Male,pakihooper950@outlook.edu,S03
A44,297688212,Dorian Benjamin,Male,dorianbenjamin4971@hotmail.couk,S11
A45,883129225,Dante Stafford,Female,dantestafford@google.net,S25
A46,947508451,Susan Harrington,Male,susanharrington@outlook.ca,S24
A47,106238765,Boris Kirkland,Male,boriskirkland5262@protonmail.net,S22
A48,474566224,Randall Benton,Male,randallbenton9318@aol.com,S06
A49,159653883,Willa Curry,Female,willacurry@outlook.couk,S37
A50,152412922,Zane Diaz,Male,zanediaz@outlook.ca,S36
A51,783877973,Robin Parrish,Female,robinparrish5399@icloud.ca,S36
A52,68551758,Adara Lamb,Male,adaralamb4549@hotmail.com,S34
A53,141243373,Ruby Bruce,Male,rubybruce@outlook.org,S08
A54,243883897,Lee Gilmore,Female,leegilmore1111@yahoo.com,S08
A55,786592876,Nina Schmidt,Female,ninaschmidt@hotmail.org,S26
A56,608457163,Lamar Velez,Female,lamarvelez7571@yahoo.net,S40
A57,876069458,Jerry Barron,Female,jerrybarron@yahoo.net,S19
A58,548186484,Abdul Benson,Male,abdulbenson@outlook.couk,S31
A59,856381867,Chancellor Klein,Male,chancellorklein@hotmail.edu,S02
A60,807153733,Devin Lane,Female,devinlane8664@yahoo.net,S38
